bdmap_id,shape,spacing,orientation,dtype
BDMAP_O0000036_A,"(512, 512, 95)","(0.908, 0.908, 5.0)","('L', 'A', 'I')",int16
BDMAP_O0000032_A,"(512, 512, 83)","(0.654, 0.654, 3.0)","('L', 'A', 'I')",int16
BDMAP_O0000054_A,"(512, 512, 769)","(0.674, 0.674, 0.5)","('L', 'A', 'I')",int16
BDMAP_O0000064_A,"(512, 512, 66)","(0.85, 0.85, 3.75)","('L', 'A', 'I')",int16
BDMAP_O0000464_A,"(512, 512, 521)","(0.746, 0.746, 0.5)","('L', 'A', 'I')",int16
BDMAP_O0000457_A,"(512, 512, 499)","(0.705, 0.705, 0.5)","('L', 'A', 'I')",int16
BDMAP_O0000164_A,"(512, 512, 353)","(0.703, 0.703, 0.625)","('L', 'A', 'I')",int16
BDMAP_O0000009_A,"(512, 512, 300)","(0.789, 0.789, 1.0)","('L', 'A', 'I')",int16
BDMAP_O0000041_A,"(512, 512, 257)","(0.703, 0.703, 0.625)","('L', 'A', 'I')",int16
BDMAP_O0000011_A,"(512, 512, 205)","(1.172, 1.172, 2.0)","('L', 'A', 'I')",int16
BDMAP_O0000035_A,"(512, 512, 170)","(0.803, 0.803, 3.0)","('L', 'A', 'I')",int16
BDMAP_O0000010_A,"(512, 512, 140)","(0.609, 0.609, 3.0)","('L', 'A', 'I')",int16
BDMAP_O0000462_A,"(512, 512, 1229)","(0.66, 0.66, 0.5)","('L', 'A', 'I')",int16
BDMAP_O0000463_V,"(512, 512, 935)","(0.656, 0.656, 0.5)","('L', 'A', 'I')",int16
BDMAP_O0000030_V,"(512, 512, 88)","(0.676, 0.676, 5.0)","('L', 'A', 'I')",int16
BDMAP_O0000028_V,"(512, 512, 81)","(0.692, 0.692, 5.0)","('L', 'A', 'I')",int16
BDMAP_O0000165_V,"(512, 512, 688)","(0.703, 0.703, 0.625)","('L', 'A', 'I')",int16
BDMAP_O0000007_V,"(512, 512, 544)","(0.789, 0.789, 1.0)","('L', 'A', 'I')",int16
BDMAP_O0000458_V,"(512, 512, 499)","(0.705, 0.705, 0.5)","('L', 'A', 'I')",int16
BDMAP_O0000055_V,"(512, 512, 375)","(0.68, 0.68, 0.5)","('L', 'A', 'I')",int16
BDMAP_O0000006_V,"(512, 512, 343)","(0.682, 0.682, 1.25)","('L', 'A', 'I')",int16
BDMAP_O0000017_V,"(512, 512, 172)","(0.766, 0.766, 2.5)","('L', 'A', 'I')",int16
BDMAP_O0000034_V,"(512, 512, 125)","(0.67, 0.67, 3.75)","('L', 'A', 'I')",int16
BDMAP_O0000031_V,"(512, 512, 103)","(0.688, 0.688, 5.0)","('L', 'A', 'I')",int16
BDMAP_O0000065_V,"(512, 512, 101)","(0.85, 0.85, 5.0)","('L', 'A', 'I')",int16
