case_name,ssim_3d,psnr_3d
BDMAP_O0000059,89.83908295631409,27.541654024057756
BDMAP_O0000259,88.80662322044373,27.219487743366226
BDMAP_O0000049,86.85858249664307,27.183044018516437
BDMAP_O0000258,91.68893694877625,29.051905308001785
BDMAP_O0000021,89.20509219169617,28.75419231222856
BDMAP_O0000016,89.30205702781677,27.159178060102477
BDMAP_O0000096,91.80720448493958,29.043866862685945
BDMAP_O0000003,89.83767628669739,26.814829562417888
BDMAP_O0000029,91.83046221733093,28.33791867367345
BDMAP_O0000018,88.61169219017029,29.470812024127518
BDMAP_O0000023,89.35094475746155,28.215882194606706
BDMAP_O0000019,87.97408938407898,27.17120099287269
BDMAP_O0000046,87.76034712791443,26.090316127478506
BDMAP_O0000012,87.97963261604309,28.028182973427995
BDMAP_O0000058,90.31893610954285,28.379627838081717
BDMAP_O0000048,85.08386015892029,26.73049080543056
BDMAP_O0000038,88.13053965568542,27.902636112728715
BDMAP_O0000050,87.07090020179749,27.59718846948379
BDMAP_O0000014,90.25294184684753,29.746881854077003
BDMAP_O0000033,85.81368327140808,27.306454990797707
BDMAP_O0000022,88.74589800834656,27.8822283629924
BDMAP_O0000043,88.69655728340149,27.148858147614675
BDMAP_O0000004,86.55950427055359,27.364018316321186
BDMAP_O0000045,85.88030338287354,26.46193348757639
BDMAP_O0000039,90.19239544868469,27.930804432016654
BDMAP_O0000005,86.53624653816223,27.404547984673627
BDMAP_O0000037,90.07211327552795,29.082981935872105
BDMAP_O0000044,85.18875241279602,24.87633887268857
BDMAP_O0000020,86.9041919708252,27.252485198789227
BDMAP_O0000460,88.8257086277008,27.67444559575302
BDMAP_O0000047,67.96491742134094,18.461856974419945
BDMAP_O0000465,88.93206715583801,27.46633979332676
BDMAP_O0000008,91.19741320610046,27.986906887707576
BDMAP_O0000001,86.67899966239929,27.140459379152453
BDMAP_O0000461,88.26456665992737,27.397454953275865
BDMAP_O0000002,85.94844937324524,27.011495700399525
