case_name,ssim_3d,psnr_3d
BDMAP_O0000064,97.3295509815216,31.302692447043114
BDMAP_O0000259,95.6346333026886,32.134645058583004
BDMAP_O0000031,96.67814373970032,32.74992249033084
BDMAP_O0000030,97.2066342830658,32.48388613865507
BDMAP_O0000032,96.99954986572266,33.49752859030724
BDMAP_O0000049,96.4606761932373,30.92994680762579
BDMAP_O0000003,95.8514392375946,31.324252179931804
BDMAP_O0000034,96.20291590690613,31.47409701004942
BDMAP_O0000019,98.24787974357605,35.484913186623054
BDMAP_O0000010,95.50673365592957,31.046160789829578
BDMAP_O0000065,97.06462025642395,30.781606749356207
BDMAP_O0000022,97.48666882514954,33.997807851165255
BDMAP_O0000046,96.06228470802307,31.020163781018596
BDMAP_O0000041,95.978444814682,31.800638511796976
BDMAP_O0000023,96.24579548835754,32.69252051379458
BDMAP_O0000017,96.70937657356262,31.49705168850376
BDMAP_O0000050,97.23408818244934,32.58003118409892
BDMAP_O0000021,98.27539920806885,35.906751299689645
BDMAP_O0000048,97.94619083404541,36.04516294797426
BDMAP_O0000043,95.6493079662323,31.104106060995242
BDMAP_O0000059,96.22538685798645,33.90702820015412
BDMAP_O0000058,95.41085362434387,32.647787443552204
BDMAP_O0000258,95.84882855415344,32.1075705502605
BDMAP_O0000006,95.20690441131592,30.363924483683498
BDMAP_O0000096,97.86376953125,35.5650907188665
BDMAP_O0000055,96.94154858589172,33.19934036034664
BDMAP_O0000018,95.60577869415283,32.381928726064515
BDMAP_O0000009,95.39380073547363,31.31398498435785
BDMAP_O0000028,97.0512330532074,34.09147843673484
BDMAP_O0000039,95.02126574516296,30.79013570814133
BDMAP_O0000037,94.45569515228271,31.024654190692594
BDMAP_O0000016,95.5493152141571,30.45191880364987
BDMAP_O0000458,96.1109459400177,30.75443747393701
BDMAP_O0000035,96.1132824420929,30.319809017296166
BDMAP_O0000014,95.23098468780518,32.09729137901601
BDMAP_O0000465,96.01724147796631,31.61661506255581
BDMAP_O0000004,95.30736804008484,31.141691125769697
BDMAP_O0000036,97.63805270195007,32.88707487588028
BDMAP_O0000457,95.92968821525574,30.648810980099892
BDMAP_O0000012,97.00239300727844,32.71887023618401
BDMAP_O0000044,92.868971824646,28.01053590455044
BDMAP_O0000029,96.87092900276184,31.811759233683237
BDMAP_O0000045,91.21441841125488,28.710804213192933
BDMAP_O0000038,98.41210842132568,36.973009393654266
BDMAP_O0000020,94.21005845069885,31.58622101833754
BDMAP_O0000033,95.84650993347168,32.318701980126
BDMAP_O0000011,95.4998254776001,32.14708939266315
BDMAP_O0000007,95.79272270202637,32.44265301542657
BDMAP_O0000164,95.3550636768341,30.410640011968944
BDMAP_O0000008,95.27109265327454,30.310388393824542
BDMAP_O0000464,95.28924822807312,30.296806690460237
BDMAP_O0000165,94.39365267753601,29.776101004044293
BDMAP_O0000460,95.94784379005432,31.77165454230996
BDMAP_O0000463,95.73543667793274,33.886196667590895
BDMAP_O0000054,95.75420022010803,31.531647451501556
BDMAP_O0000005,95.43330073356628,31.51606501045552
BDMAP_O0000461,95.45180201530457,31.568974895829886
BDMAP_O0000047,83.22563767433167,19.18520447740101
BDMAP_O0000001,95.00186443328857,29.97339492721743
BDMAP_O0000462,94.61480975151062,31.932736893000005
BDMAP_O0000002,94.77817416191101,30.088816922148087
