case_name,ssim_3d,psnr_3d
BDMAP_O0000058,84.55159664154053,24.748101611675626
BDMAP_O0000059,76.60261988639832,22.552370902474888
BDMAP_O0000259,78.54714393615723,22.11015847499384
BDMAP_O0000258,86.71672940254211,26.292056328040193
BDMAP_O0000021,79.78251576423645,24.289791824729786
BDMAP_O0000049,82.64351487159729,24.464079725397305
BDMAP_O0000016,82.95204043388367,23.93757999173003
BDMAP_O0000029,84.91780161857605,23.426706188145495
BDMAP_O0000003,85.70408821105957,24.52401069216465
BDMAP_O0000018,82.09085464477539,25.194380062348955
BDMAP_O0000023,83.29704403877258,24.70085661089112
BDMAP_O0000096,81.52480125427246,23.415879364055968
BDMAP_O0000019,82.71839618682861,24.411495291687658
BDMAP_O0000046,79.98518943786621,21.10760787149966
BDMAP_O0000012,79.68130707740784,23.064187182995646
BDMAP_O0000022,82.482248544693,23.99727963093912
BDMAP_O0000048,78.07986736297607,23.576990819424445
BDMAP_O0000038,82.99821019172668,24.044747913917508
BDMAP_O0000014,84.34035778045654,25.114191530859216
BDMAP_O0000050,79.53909039497375,23.3009941756381
BDMAP_O0000033,78.39024662971497,22.616452453656024
BDMAP_O0000004,76.94087624549866,22.0143075945536
BDMAP_O0000043,81.48185610771179,21.95136034941727
BDMAP_O0000045,74.29115772247314,19.93465663783773
BDMAP_O0000005,79.00226712226868,22.283499580902202
BDMAP_O0000037,82.09344744682312,23.456019608876503
BDMAP_O0000039,86.25813126564026,24.756372655829534
BDMAP_O0000465,80.99285960197449,21.12254173600929
BDMAP_O0000460,79.9509048461914,21.457154002849464
BDMAP_O0000044,78.88111472129822,21.777077647035078
BDMAP_O0000047,74.64233040809631,19.005359863559338
BDMAP_O0000020,76.97013020515442,21.913850572645153
BDMAP_O0000008,86.7097556591034,24.71079509155853
BDMAP_O0000461,78.28436493873596,20.51889316767769
BDMAP_O0000002,79.67856526374817,22.228358149652227
BDMAP_O0000001,71.91782593727112,18.8748671559632
