case_name,ssim_3d,psnr_3d
BDMAP_O0000032,91.61107540130615,29.887067572857788
BDMAP_O0000259,92.79448390007019,30.21933041055712
BDMAP_O0000258,92.114919424057,29.820941277546673
BDMAP_O0000021,95.80426812171936,32.77625055568696
BDMAP_O0000031,94.42010521888733,30.800678152904855
BDMAP_O0000049,94.2689597606659,29.292273385096625
BDMAP_O0000065,95.21558880805969,29.491811173463155
BDMAP_O0000018,94.2091166973114,31.468863442192475
BDMAP_O0000010,92.09864735603333,29.039753024556983
BDMAP_O0000028,94.28167343139648,31.754873992438736
BDMAP_O0000048,95.3478991985321,32.88783143214153
BDMAP_O0000022,94.49455142021179,31.047909125424265
BDMAP_O0000050,95.23048996925354,30.87956799723306
BDMAP_O0000004,91.79170727729797,29.288607032302018
BDMAP_O0000046,93.40407252311707,29.068089178497345
BDMAP_O0000096,94.23553347587585,31.916301644793236
BDMAP_O0000038,94.88195776939392,31.88137958414899
BDMAP_O0000041,90.87667465209961,29.054358682444086
BDMAP_O0000003,93.07429194450378,29.10412375719317
BDMAP_O0000058,91.06718897819519,29.746411799287166
BDMAP_O0000033,90.2876615524292,28.44430815283988
BDMAP_O0000019,94.97080445289612,32.05574194249964
BDMAP_O0000055,92.99013018608093,30.04011272178041
BDMAP_O0000064,95.10877728462219,29.957195251250607
BDMAP_O0000016,93.36364269256592,29.075882384761123
BDMAP_O0000045,87.55002021789551,27.447239674848237
BDMAP_O0000005,91.95318818092346,29.43953254608378
BDMAP_O0000029,94.22421455383301,29.84268099494689
BDMAP_O0000036,96.00265622138977,30.998512973571795
BDMAP_O0000017,94.35431957244873,29.27175645346456
BDMAP_O0000043,91.1134421825409,28.4843541732736
BDMAP_O0000059,92.26834177970886,30.796531363829203
BDMAP_O0000464,90.75432419776917,27.90885003330643
BDMAP_O0000020,91.04468822479248,29.435516267309954
BDMAP_O0000035,94.14064288139343,28.930715878084428
BDMAP_O0000457,90.85013270378113,27.999767688582608
BDMAP_O0000023,93.77034306526184,31.012460133896475
BDMAP_O0000030,94.53256726264954,30.003486185854516
BDMAP_O0000006,91.94510579109192,28.799538429878258
BDMAP_O0000034,93.95977854728699,30.19411229680489
BDMAP_O0000014,93.68284344673157,31.20899706101859
BDMAP_O0000044,89.43703770637512,26.454938140722536
BDMAP_O0000465,90.89040160179138,28.318019552918102
BDMAP_O0000011,93.53458285331726,30.94060021641083
BDMAP_O0000037,91.76738262176514,29.52317026765428
BDMAP_O0000012,94.50566172599792,30.631835093169087
BDMAP_O0000009,92.15776324272156,29.23892911915346
BDMAP_O0000047,80.11202812194824,18.741333010862416
BDMAP_O0000164,88.75024914741516,27.18617385597569
BDMAP_O0000460,91.30799174308777,29.099701114602162
BDMAP_O0000008,93.16152930259705,28.978142619836195
BDMAP_O0000165,90.77389240264893,27.994046765738823
BDMAP_O0000458,90.88936448097229,28.188425485421686
BDMAP_O0000461,92.04273223876953,29.498987428574498
BDMAP_O0000039,91.38560891151428,28.615903866324757
BDMAP_O0000001,90.1057481765747,27.65193832912782
BDMAP_O0000002,90.14965891838074,27.945223756953883
BDMAP_O0000463,92.35975742340088,31.008483285291675
BDMAP_O0000462,91.66483283042908,29.535254106748976
BDMAP_O0000007,93.78578662872314,30.853001815921427
BDMAP_O0000054,90.30747413635254,28.123125551096315
